#{"t_start": 1659031886.5793529, "env_id": "LunarLander-v3"}
r,l,t
-127.45849,70,19.678334
-95.469357,97,20.003237
-427.252818,109,20.363488
-365.700315,115,20.759693
-104.028764,72,20.996393
-258.660316,118,21.379086
-96.60324,68,21.593079
-98.934244,117,21.976698
-51.068546,141,22.444055
-291.709104,137,22.880237
-108.085545,91,23.177835
-371.565919,141,23.650078
-73.59697,98,23.970245
-145.658882,87,24.258937
-311.230965,85,24.536131
-99.653559,110,24.894568
-109.154877,66,25.112068
-166.216124,118,25.504026
-86.031742,62,25.704512
-103.029445,89,25.990578
-89.229753,91,26.29917
-89.359849,82,26.729891
-40.735684,111,27.148743
-50.611017,98,27.507186
-10.605263,88,27.970995
-100.560585,94,28.405238
-85.767613,65,28.68388
-90.74085,92,29.057584
-79.616385,122,29.525949
-69.459823,143,30.089963
-104.946649,147,30.591439
-38.962099,103,30.948316
-51.214314,59,31.146309
-82.327493,101,31.4832
-232.023074,139,31.955565
-98.578706,134,32.406204
-65.273523,94,32.731898
-70.24492,156,33.275555
-97.65194,111,33.698851
-30.527416,69,33.947409
-33.206261,156,34.50186
-55.729121,61,34.714557
-64.718863,93,35.032858
-18.55962,102,35.388853
1.247775,116,35.791712
-36.834451,168,36.40985
-63.330631,93,36.742827
-207.423394,339,38.03194
-57.690905,166,38.606121
-50.856404,140,39.089216
24.428169,139,39.58078
-64.387265,142,40.081196
-56.375228,205,40.8181
1.534861,117,41.225118
-6.603281,166,41.817735
-69.617115,151,42.351038
-57.619264,103,42.713921
-60.396403,152,43.262088
-72.036562,160,43.838159
5.744243,379,45.379253
-64.205784,1500,52.672463
-160.594887,1500,63.233329
-109.33108,1500,66.361898
-161.045791,1500,69.755802
-87.817214,1500,72.314155
-165.563591,1500,77.027044
-158.647083,159,77.625178
-124.907775,1500,87.438202
-80.107627,1500,94.664039
-140.904632,1500,103.056402
-182.848642,626,105.850395
-81.95282,186,106.568602
-173.168597,1500,114.839271
-124.680143,1500,123.516164
-96.61637,1500,131.456065
-100.442866,1500,135.773114
-84.17857,1500,140.70926
-109.594748,1500,146.572562
-117.202696,1500,151.990984
-120.565242,1500,157.090962
-115.107733,1500,166.072836
-132.38742,1500,174.368393
-106.354686,1500,184.029445
-15.355611,1500,191.356919
-103.922988,1500,199.328247
-114.020019,1500,206.689038
-66.141871,1500,216.724334
-153.22581,1500,221.369035
-107.230973,1500,224.968606
-97.644637,1500,228.030909
-111.190132,1500,232.88097
-130.573768,1500,240.506275
-113.878939,1500,248.745775
71.938334,1500,256.887459
-32.287981,1500,264.293622
-128.239846,1500,272.295182
-112.010082,1500,281.131101
-141.735569,1500,291.084955
-119.751177,1500,295.823873
-119.09866,1500,299.493072
-117.477485,1500,304.65043
-40.468116,195,304.84102
-88.643611,1500,313.288709
-117.34587,1500,325.436731
-110.287898,1500,337.002173
-128.038354,1500,344.411376
40.519937,201,345.211074
-142.098206,1500,353.599976
-86.34948,1500,361.242345
-168.061406,1500,368.310644
-100.701527,888,370.006467
-92.197297,1500,374.190502
-64.772551,664,375.150252
53.137989,159,375.288975
-49.477493,1500,384.327761
-61.856568,1500,392.306296
-109.718984,1500,400.242557
16.355279,1500,407.292676
-10.875999,131,407.804502
11.794214,114,408.264968
49.4957,1500,415.965101
-110.620091,1500,425.003415
-163.455675,1500,432.571647
-258.528712,168,432.729467
-153.684426,1500,437.116893
-156.24872,1500,440.176013
-116.97129,1500,444.459391
67.845588,1500,452.926619
-116.950603,1500,460.940716
-97.587401,1500,468.468483
99.48384,1500,475.73533
-147.194789,1500,483.351248
48.686859,180,484.066054
106.802407,1500,490.966163
-135.221322,1500,498.872336
-122.656959,1500,502.170727
68.503766,1500,504.381223
-86.621078,1500,507.29327
-153.056026,1500,514.126649
-61.947978,1500,522.951712
-95.778573,1500,530.593651
-113.206281,1500,538.804331
91.615626,1500,545.708173
95.547682,1500,552.692781
1.493146,1500,563.027378
36.623935,1500,570.038841
42.50693,1500,572.98321
165.678061,1500,575.904572
79.420658,1500,579.501302
109.436891,1500,583.527079
-21.992759,1500,593.731214
139.257144,1500,600.209519
-111.560427,1500,608.039417
-133.738246,1500,617.232396
47.441489,1500,625.403479
55.086697,1500,633.015071
54.629707,150,633.581317
35.766307,139,637.339336
38.16279,1500,639.888556
-125.766186,84,639.950777
12.193478,1500,643.686034
69.730934,128,643.806741
148.337195,1500,651.625963
139.607877,1500,657.999348
118.514323,1500,664.523149
156.846537,1500,671.021458
-85.93468,118,671.480046
-24.664411,127,671.956409
8.261232,94,672.299804
22.093387,109,672.703833
16.891921,204,673.501455
144.920505,1500,679.928311
135.487008,1500,686.467702
-239.079005,771,689.225104
-56.284327,1500,694.141509
76.828389,1500,699.574153
67.093972,1500,701.777835
94.759977,1500,704.661586
