#{"t_start": 1659046275.7069688, "env_id": "LunarLander_obs-v1"}
r,l,t
-154.186094,70,35.177215
-112.224547,95,35.5683
-256.064585,86,36.092955
-264.126966,72,36.374045
-136.63754,65,36.676708
-79.676564,61,37.034042
-182.382357,79,37.33997
-57.068011,99,37.734283
-129.20956,69,38.011553
-140.326277,104,38.443298
-188.929991,72,38.740736
-37.077003,69,39.044393
-161.039208,73,39.344035
-103.141509,86,39.690018
-179.18338,117,40.164017
-117.472509,72,40.443488
-67.627939,120,40.91824
-271.437952,112,41.364258
-227.962556,103,41.763612
-47.752966,118,42.241142
-54.984434,106,42.661144
-39.489674,99,43.051311
-45.048761,88,43.393301
-153.57793,108,43.819203
-13.78441,117,44.289918
-120.463035,62,44.541236
-141.311508,72,44.835013
-58.470205,65,45.082515
-134.561044,156,45.704509
-31.20144,119,46.17702
-125.999333,87,46.512605
-22.293675,72,46.801998
-69.120371,90,47.149331
-136.517269,132,47.677247
-73.751858,66,47.94361
-67.247734,108,48.365784
-113.433105,70,48.629304
-124.548267,68,48.900278
-83.853658,84,49.239881
-96.356337,140,49.817809
-30.001088,64,50.083047
-77.411713,120,50.571248
-10.136599,66,50.854957
-53.470483,141,51.411119
-34.043548,91,51.773916
2.604097,93,52.147096
-137.541564,72,52.438644
-44.448507,109,52.879731
-52.766898,98,53.294338
4.244551,74,53.583416
-46.637309,61,53.820328
12.864423,72,54.113691
-101.387818,116,54.586897
-126.061223,86,54.943126
2.64704,136,55.489187
-142.819703,106,55.913759
-4.000382,84,56.263053
-104.849739,121,56.762465
-51.952924,77,57.064174
-104.253249,73,57.350995
-69.517904,104,57.761993
-33.373475,106,58.198548
-55.587556,82,58.534625
0.1067,85,58.887616
-27.25006,68,59.163113
16.009454,77,59.488938
-148.08663,103,59.907056
0.368562,74,60.210338
1.506706,81,60.53252
2.839663,73,60.829609
-59.512815,94,61.218158
-125.547041,59,61.464216
-125.932143,83,61.790084
7.441788,105,62.251227
-115.729374,73,62.55371
-41.304587,75,62.868576
-26.618654,113,63.336799
-155.725957,106,63.759063
21.672497,125,64.274888
-154.95437,116,64.737023
-77.941688,101,65.155341
-62.873805,69,65.433256
-109.146699,107,65.875643
-12.109612,73,66.167459
-100.657945,101,66.585284
-34.136056,64,66.84411
2.681145,70,67.145208
-149.883863,90,67.506098
-29.935398,69,67.795977
-91.676961,90,68.156852
-25.116725,121,68.654174
24.155906,84,69.000283
13.44539,80,69.336373
-30.223709,75,69.64493
-56.291239,113,70.102633
-29.222828,78,70.425767
-39.022488,68,70.697896
-17.336505,59,70.939284
-123.10185,108,71.392686
-139.381218,84,71.742518
24.838403,71,72.031732
-25.476369,63,72.299398
-272.312959,119,72.815266
-29.835361,109,73.268399
-5.810023,69,73.54831
2.654597,109,74.017056
-38.773715,76,74.332194
-31.318348,73,74.62012
5.878456,73,74.917866
3.204501,72,75.21651
-1.20138,71,75.518003
-378.77248,1088,78.540204
-433.182598,560,79.468384
-344.132397,960,82.073778
-97.077137,343,82.462447
-318.44431,887,84.279392
-20.716216,130,84.84571
-33.389458,97,85.253133
-79.493781,83,85.599243
-102.178113,108,86.046997
-120.074332,73,86.35425
26.382389,80,86.69261
-38.209212,93,87.091957
-180.53466,118,87.601922
-100.461827,65,87.869426
-25.459456,92,88.262902
-73.640332,96,88.676547
-118.57543,117,89.174561
-85.90395,113,89.668776
-140.34544,120,90.174905
-108.494433,102,90.589399
-3.058702,109,91.047351
-22.878483,97,91.469588
-11.09089,99,91.883931
43.206602,98,92.301767
-87.198544,90,92.662805
-2.951129,79,92.994668
-137.05628,107,93.453832
-80.93168,125,93.985371
-33.646947,110,94.480374
-28.134185,113,94.962914
-35.32177,103,95.408309
38.388789,82,95.745808
7.940042,88,96.118921
8.806882,100,96.540319
-39.240144,108,96.997624
31.863604,178,97.777214
-24.577054,111,98.250694
-125.628278,107,98.715997
-21.629137,96,99.134354
-24.097897,110,99.60371
-89.92886,118,100.101664
-76.760463,129,100.655013
37.263673,99,101.084766
-9.78419,89,101.476103
-94.848398,173,102.259126
-72.407095,141,102.878474
15.406153,157,103.554879
-208.196197,162,104.286713
-15.137731,92,104.68433
55.16439,78,105.004926
-335.65594,479,107.24356
-85.555197,140,107.851808
17.790789,212,108.805868
52.676816,140,109.411319
62.943071,134,109.999089
37.635675,114,110.487631
-98.280214,78,110.82051
-214.195797,471,113.143211
-253.894199,654,116.488964
-339.665748,1353,124.058916
-165.560536,1500,136.579912
-208.78591,1500,139.935356
-203.187887,1500,143.288164
-170.040439,1500,146.945965
3.803257,1500,150.401186
-107.994865,1500,160.704868
-209.192734,1500,170.146923
-60.597782,1500,180.002789
-63.817441,1500,189.514641
-69.47331,1500,200.367682
18.863825,1500,209.918028
-47.459954,1500,220.027854
-148.204333,287,220.381445
-31.920385,1500,224.228661
-14.293998,1500,229.414556
-71.412679,1500,234.063483
-219.265141,306,235.553145
-82.924149,1500,244.227929
15.618444,1500,254.20642
0.188736,1500,262.72647
69.013664,1500,271.352564
-56.443048,1500,280.662691
61.305168,1500,289.835284
107.662548,1500,296.3714
-25.530166,648,297.659418
154.897755,1500,299.834157
-204.649461,454,300.548402
201.338951,1500,302.486659
128.611043,1500,311.216442
73.613762,1500,319.977067
48.577326,1500,328.43241
73.917841,1500,336.536516
64.764498,1500,345.423834
137.908781,1500,354.426651
120.694715,1500,362.98317
122.578738,1500,365.735124
133.18781,1500,369.914198
108.430013,1500,373.50239
23.427693,464,374.214519
75.406233,1500,382.527643
52.064072,837,386.941891
69.28501,177,387.775454
144.058153,1500,395.804938
163.452959,1500,403.982747
113.594041,1500,412.827605
98.750938,1500,421.304277
-221.184284,187,430.191856
-151.652424,1500,433.54766
-10.493863,1500,436.954724
-20.260712,1500,440.398278
-320.684284,221,440.650284
167.325754,1500,448.973572
137.865321,1500,457.54576
148.060927,1500,466.301438
165.635771,1500,474.416134
151.132284,1500,482.839037
13.006581,1500,491.561089
-747.043964,92,496.6256
-118.75563,141,496.764976
128.924822,1500,500.120136
168.898696,1500,502.74079
171.800901,1500,506.13514
168.354972,1500,513.969457
189.576584,1500,522.290074
64.109408,100,522.733747
159.979482,1500,530.972678
153.955554,1500,538.687506
-3.343117,164,539.43511
-192.508832,93,539.857928
20.532384,156,540.572105
35.45262,213,541.550583
80.175608,109,542.044873
-29.10513,140,542.698248
79.918994,104,543.16969
159.377003,1500,551.390631
191.081794,1500,561.121097
91.291583,1500,564.599241
-7.838438,194,564.804065
-667.901823,157,564.979247
-742.345589,184,565.17492
49.734988,123,565.752782
-26.264627,155,566.483199
185.301379,1500,574.282243
191.987939,1500,582.385017
-15.21702,109,582.884807
182.154052,1500,590.605426
58.962095,158,591.350827
-141.88509,92,591.764489
188.932095,1500,599.221479
182.574084,1500,607.524261
-127.240374,128,608.101179
-53.273427,59,608.360886
170.661958,1500,616.138314
139.857074,1500,620.029219
-291.073333,153,620.192635
181.280741,1500,622.79297
142.251485,1500,625.925464
-214.735569,136,626.076464
-117.945476,96,626.543518
153.034095,1500,634.713489
-111.859188,96,635.147048
64.75861,114,635.687648
14.020957,116,636.224671
184.619348,1500,645.14803
-116.383362,176,645.954907
165.047806,1500,654.061964
177.978488,1500,662.596086
-58.839026,96,663.029343
170.396751,1500,670.96836
50.5733,1500,679.33952
209.080645,1500,683.289174
183.172967,1500,685.413151
203.628992,1500,687.261451
191.851677,1500,689.139257
200.146121,1500,690.811649
198.652311,1500,699.023027
43.217861,206,699.982816
157.394844,1500,707.866306
194.574305,1500,715.968591
190.675728,1500,723.923626
6.145016,142,724.553285
197.21057,1500,732.457841
177.168522,1500,740.288289
227.641501,1500,745.079604
-77.246195,212,745.320582
