#{"t_start": 1658916151.0932138, "env_id": "LunarLander-v4"}
r,l,t
-224.82003,72,1.507907
-393.001049,102,1.810814
-90.474599,82,2.052164
-175.404813,140,2.460076
-110.118004,65,2.652564
-110.801485,78,2.898899
-211.19581,84,3.156214
-164.374098,109,3.467381
-162.574904,107,3.777524
-68.351091,102,4.0778
-152.431872,85,4.326136
-122.617098,107,4.641265
-129.460771,109,4.954457
-97.965401,126,5.310504
-108.085073,107,5.620665
-45.921304,122,5.982703
-90.656588,124,6.33875
-221.536377,101,6.627949
-29.936056,82,6.860327
-54.513621,119,7.228369
-95.191568,86,7.501638
-56.918651,77,7.738006
-154.494575,72,7.960405
-30.134663,126,8.35433
-187.509964,67,8.572773
-102.699317,68,8.792185
-117.36393,61,8.992649
-145.303936,100,9.313785
-138.671301,102,9.652882
-138.117944,112,10.018874
-125.597587,86,10.292146
-252.290053,109,10.662181
-112.266671,105,11.014239
-208.209587,151,11.5077
-90.573129,110,11.945498
-35.521034,69,12.262677
-69.8682,63,12.528966
-140.145632,118,12.916926
-44.858538,108,13.260011
-55.352488,70,13.51333
-95.258144,95,13.859376
-155.958174,64,14.086795
-117.554425,64,14.290252
-61.831261,112,14.66425
-52.403765,77,14.959484
-213.846196,128,15.381351
-137.661149,103,15.726434
-197.55164,97,16.046579
-100.417208,87,16.32982
-123.467298,84,16.594119
-252.62057,101,16.907274
-201.309219,122,17.294241
-91.799238,72,17.518638
-158.208105,117,17.882664
-91.40855,130,18.290568
-91.318185,93,18.589625
-147.578254,94,18.880846
-361.526642,132,19.297726
-184.612858,98,19.616876
-67.087935,94,19.905105
-62.382627,69,20.123521
-71.792836,93,20.432698
-117.554285,79,20.67305
-81.802957,89,20.959285
-33.730805,131,21.369205
-118.094301,84,21.636513
-123.267751,91,21.929598
-109.038389,93,22.222792
-94.06748,98,22.532671
-208.278188,122,22.907668
-106.191585,89,23.194899
-45.14774,95,23.490167
-45.06724,65,23.703596
-103.669894,68,23.918023
-246.677679,95,24.207248
-56.50266,65,24.423669
-155.677651,89,24.705914
-43.296563,91,24.999123
-126.615462,120,25.385127
-95.502462,90,25.665377
-46.911504,116,26.035387
-178.779843,108,26.376474
-131.69769,88,26.65074
-42.960939,69,26.866163
-67.033819,74,27.107518
-41.329156,87,27.383779
-154.532959,141,27.830583
-69.296165,108,28.178652
-86.1661,122,28.558635
-78.899305,73,28.799989
-144.416661,94,29.094202
-79.95529,73,29.323588
-160.363602,73,29.562948
-86.173999,77,29.805299
-44.013843,92,30.093528
-128.101456,97,30.396716
-56.087453,104,30.732802
-122.672214,71,30.957202
-100.542082,94,31.252412
-163.272877,115,31.625059
-82.030896,63,31.828488
-53.502325,87,32.107768
-87.461604,87,32.374049
-77.886878,78,32.623392
-84.262382,96,32.928572
-103.473132,778,34.32783
-324.055714,198,34.488402
-179.087282,943,36.334458
-143.379335,168,36.486025
-345.446989,226,36.706464
-35.712767,69,36.978823
-68.616773,74,37.20821
-175.554886,101,37.527615
-74.376741,73,37.766976
-56.049465,70,37.980404
-42.684967,103,38.312515
-123.06647,86,38.580797
-108.201439,105,38.926952
-113.087199,113,39.285962
-132.3617,72,39.515376
-153.340476,62,39.708859
-99.919621,62,39.912286
-111.016154,130,40.328971
-70.763764,81,40.594312
-258.686078,109,40.941383
-104.109045,102,41.262526
-26.909861,81,41.528767
-113.01326,99,41.836942
-108.663074,81,42.105224
-122.016854,86,42.371512
-133.681501,88,42.653757
-103.53247,78,42.907079
-112.183598,88,43.183339
-89.669784,93,43.468576
-10.283454,108,43.811658
-110.541168,72,44.047028
-70.459651,72,44.275417
-27.79992,97,44.583592
-121.3219,97,44.884786
-93.709868,111,45.243826
-67.262074,120,45.632785
-85.150529,117,46.001797
-115.248776,69,46.235173
-68.166319,92,46.537754
-128.219356,121,46.924738
-92.986412,102,47.248871
-82.288037,86,47.528123
-154.337239,88,47.809371
-29.919496,123,48.208303
-142.427062,63,48.396799
-45.17202,108,48.743413
-100.696139,113,49.118415
-26.898326,127,49.51635
-86.452053,106,49.868414
-172.8439,72,50.094819
-65.05037,101,50.423938
-92.751463,73,50.653324
-109.257161,79,50.909638
-53.095553,98,51.233771
-60.657592,107,51.573985
-13.573341,80,51.829306
-32.540545,77,52.089606
-119.978634,94,52.385812
-55.363762,107,52.737842
-66.649481,99,53.056369
-96.574599,158,53.562572
-14.228298,85,53.839802
-53.611084,89,54.131051
-7.62466,140,54.583811
-54.405315,67,54.795273
-46.506519,99,55.117383
-172.505616,81,55.374723
-144.00079,89,55.67093
-130.081663,92,55.964139
-86.153608,101,56.289278
-87.923788,90,56.578504
-48.410513,115,56.957482
-99.437891,128,57.376361
