#{"t_start": 1658829223.542336, "env_id": "LunarLander-v4"}
r,l,t
-40.016165,66,1.513493
-290.869002,72,1.714954
-350.519437,91,1.98922
-30.730488,79,2.214617
-46.540193,81,2.446995
-86.017359,72,2.648961
-187.979371,107,2.945168
-255.450863,93,3.211456
-412.934689,97,3.490537
-85.315191,118,3.809712
-149.346507,129,4.181718
-336.497597,116,4.504475
-61.307379,70,4.691945
-70.014642,106,4.993167
-144.014028,80,5.213577
-122.66055,59,5.370754
-98.927842,69,5.574208
-85.096479,90,5.82055
-93.907065,72,6.019019
-24.40865,89,6.287708
-143.782198,91,6.57303
-117.837932,81,6.818376
-156.069176,87,7.083664
-93.414678,82,7.330995
-114.106348,98,7.625187
-88.089421,97,7.924413
-159.958223,123,8.311921
-220.821992,82,8.586186
-134.39155,106,8.923884
-98.209213,126,9.330792
-94.957359,128,9.747671
-44.164385,89,10.058595
-46.355609,114,10.414642
-160.643074,86,10.706271
-191.246879,94,10.9945
-118.423078,104,11.322621
-139.883567,86,11.597431
-126.697229,80,11.849627
-216.83664,113,12.203721
-118.209939,76,12.444066
-101.055937,126,12.859924
-137.294708,117,13.218991
-123.54738,102,13.532154
-35.89685,70,13.761537
-98.913351,143,14.211335
-74.759472,100,14.519511
-43.23819,72,14.739922
-121.405649,72,14.96332
-90.554054,70,15.17376
-190.06388,137,15.591645
-126.169467,94,15.88785
-44.413821,62,16.071359
-64.855257,70,16.290772
-66.454232,83,16.549083
-263.257743,74,16.772485
-61.21184,72,16.998882
-195.688581,92,17.275138
-141.89532,78,17.522477
-150.976479,119,17.87653
-95.638066,71,18.099933
-202.869619,82,18.355249
-78.8627,67,18.550726
-162.728831,74,18.782108
-108.370276,76,19.022458
-81.334236,70,19.233896
-79.792929,91,19.515143
-208.406285,99,19.827308
-135.579552,147,20.285088
-64.90728,118,20.647114
-129.66452,129,21.047046
-148.888541,88,21.323307
-112.516687,84,21.578624
-135.390311,114,21.932676
-137.622225,69,22.139122
-176.364865,86,22.407404
-34.05735,110,22.749489
-59.463931,71,22.972891
-104.602282,129,23.366837
-121.719979,81,23.615172
-56.451539,114,23.981192
-58.470939,104,24.307364
-116.341646,124,24.689341
-122.235699,107,25.025442
-115.717941,65,25.223911
-73.216446,88,25.496122
-140.856917,92,25.78036
-76.595553,110,26.118479
-89.519029,117,26.486546
-167.408975,110,26.823644
-99.492941,90,27.111872
-86.895149,70,27.322685
-142.096192,72,27.550047
-201.597939,89,27.820351
-95.650203,83,28.080654
-72.815929,108,28.416787
-75.32533,74,28.650162
-54.214356,107,28.975292
-76.571891,64,29.17556
-63.455116,126,29.579479
-59.250943,89,29.86372
-66.060072,74,30.1705
-134.29408,142,30.672138
-126.751923,113,31.07108
-111.990333,67,31.302489
-80.635072,104,31.635571
-88.808054,71,31.860994
-38.210168,113,32.229872
-375.083288,1575,34.597525
-393.134341,1798,38.244346
-186.315233,444,38.703118
-153.096203,455,39.316067
-194.169454,625,40.123492
-40.695927,81,40.453833
-268.000003,87,40.729097
-239.815778,132,41.15396
-203.585796,86,41.433213
-55.542441,97,41.745008
