#{"t_start": 1658944000.2395225, "env_id": "LunarLander-v3"}
r,l,t
-132.614555,68,0.210163
-278.237559,96,0.480392
-102.917886,67,0.64875
-166.203145,137,1.016104
-158.233715,58,1.18191
-118.192358,109,1.43561
-93.72921,79,1.633265
-104.113081,111,1.930567
-198.06164,80,2.150722
-125.913879,132,2.528115
-84.509804,76,2.740753
-88.070592,72,2.955985
-98.750481,75,3.163132
-145.554628,131,3.52939
-133.732207,78,3.743974
-186.537975,73,3.948338
-68.055707,67,4.139118
-98.115423,138,4.517798
-276.499372,115,4.876422
-142.935073,104,5.199371
-138.90612,70,5.385123
-83.90102,92,5.645679
-98.652228,75,5.830167
-92.115703,96,6.083452
-133.938306,115,6.367977
-92.298797,85,6.584505
-80.774658,121,6.877425
-106.266229,106,7.147923
-78.917276,107,7.406905
16.532165,88,7.629762
-77.087315,85,7.837535
-54.960579,76,8.020315
-90.505866,136,8.363547
-90.149522,65,8.523294
-91.703661,145,8.894189
-105.173144,96,9.139107
-65.231036,174,9.58581
-72.180383,74,9.767694
-72.65351,151,10.152907
-63.750414,170,10.59202
-48.682973,92,10.826698
-29.793498,79,11.014094
-67.225679,73,11.200283
-97.804096,130,11.529537
-25.441063,164,11.956514
-18.650247,138,12.31294
-20.864843,140,12.67292
-96.669821,124,12.99211
-63.379673,181,13.460888
-54.872417,275,14.236364
-69.550826,65,14.395105
-17.714666,215,14.969571
-108.607077,122,15.27462
-34.481857,223,15.867542
-41.714183,88,16.096851
2.741227,167,16.525823
-49.950798,162,16.947317
-76.359611,1500,23.648958
-149.670777,1500,30.142123
-111.127195,1500,34.648848
-262.547596,1446,37.048783
-140.931431,1500,39.838063
-139.093257,1500,42.00885
-191.902466,1500,43.940802
-132.591245,1500,49.804875
-211.861636,887,52.546348
-126.535895,595,54.53552
-125.346925,1500,62.241325
-154.692331,1500,68.010036
-100.324398,1500,76.977186
-174.274144,1500,83.024562
-163.072432,1500,88.845459
-114.018312,1500,92.078548
-247.595348,499,92.475098
-105.944143,1500,95.1898
-170.092958,1500,98.984266
-68.536643,1500,104.887451
-385.295732,1202,110.034193
-269.634503,1500,115.683175
-122.310445,1500,123.328412
-111.065659,1500,130.461315
-170.589015,1500,136.78896
-137.180769,1500,144.93706
-181.451131,1500,147.725083
-147.272805,1500,150.575064
-168.081041,1500,153.282899
-158.98412,1500,157.269806
-178.691156,1500,165.129807
-95.857428,1500,172.420523
-149.937876,908,175.80606
-141.878638,1500,181.760825
-96.857183,1500,187.671806
-135.978202,1500,193.258091
-105.838705,1500,199.263487
-130.89979,1500,202.100047
-119.194056,1500,204.446956
-164.387855,229,204.573941
-133.678554,1500,207.993483
-185.428707,217,208.109398
-150.497109,1500,215.811416
-198.022738,208,216.390826
-210.884282,234,217.029148
-278.315428,1003,221.133139
-39.54213,1500,228.105534
-181.61125,250,228.82268
-178.09134,329,229.8376
-102.983873,1500,237.46013
-224.305874,949,241.171942
-230.252835,720,243.673483
-108.4938,149,244.097415
-226.896696,535,245.895784
-149.838332,602,247.99394
-209.329556,669,250.701518
-103.523908,257,250.873531
-181.652583,682,251.925863
-129.692191,155,252.009714
-167.237078,630,252.775735
-225.453873,1020,256.59294
-205.865511,1500,263.323308
-134.306698,1500,270.500253
-91.641156,1500,276.849645
-120.759057,1500,283.205689
-85.545126,1500,289.182801
-100.101637,1500,299.017401
-467.714267,73,299.059767
-74.270334,1500,301.363156
-455.705138,142,301.437304
-94.814505,1500,305.462202
-263.160939,347,306.580149
-74.952832,1500,313.70507
9.321567,1500,320.12973
127.271704,1500,325.850005
135.943014,1500,330.803377
22.089569,1500,336.696959
98.44459,1500,342.045595
72.979305,1500,346.904404
119.381726,1500,349.025518
87.298002,1500,351.9339
149.019425,1500,353.14036
-116.848161,1500,357.431757
-130.153195,1500,362.825308
65.961053,1500,369.057509
49.678312,102,369.333942
81.643278,1500,374.637321
-28.378745,544,376.353952
-12.368599,92,376.608515
32.87642,1500,382.665896
122.416008,1500,388.14036
117.296812,1500,393.515141
129.687065,1500,395.845208
156.298477,1500,397.364295
170.954918,1500,398.864001
-28.902312,168,398.948956
157.143091,1500,400.137369
38.949551,144,400.561342
169.937952,1500,405.52684
103.410259,1500,410.197171
42.538195,1500,415.265637
64.981981,148,415.678072
35.262435,1500,422.147758
10.936811,168,422.608736
19.159522,163,423.059888
-27.448522,1500,430.508951
-29.729793,355,431.551198
9.381941,150,431.954409
10.699539,209,432.53243
-17.17362,206,433.099749
8.761838,180,436.411667
25.255556,142,436.486657
-30.242202,1500,439.079503
-200.338236,1500,442.788875
5.803134,165,442.876835
-27.641928,1500,448.36059
10.575648,154,448.79378
-105.231881,1500,454.7618
52.478071,183,455.260594
-86.403285,1500,462.583993
-75.828054,1500,468.493395
60.171671,1500,473.528882
14.516403,1500,480.468715
-80.830076,1500,485.124148
-117.622631,1500,488.596611
-96.7441,1500,491.957397
-153.584851,1500,495.58614
-138.986584,1500,497.846405
