#{"t_start": 1658945607.9223864, "env_id": "LunarLander-v3"}
r,l,t
-132.614555,68,0.296389
-278.237559,96,0.57282
-102.917886,67,0.803454
-166.203145,137,1.240119
-158.233715,58,1.413124
-118.192358,109,1.78278
-93.72921,79,2.010443
-104.113081,111,2.323544
-198.06164,80,2.55289
-125.913879,132,2.927137
-84.509804,76,3.167924
-88.070592,72,3.351782
-98.750481,75,3.537745
-145.554628,131,3.921227
-145.349064,80,4.154798
-136.425814,136,4.524104
-132.728646,87,4.749539
-121.13574,93,4.983489
-146.43882,78,5.202142
-102.883576,90,5.435032
-68.077453,73,5.619154
-133.316829,89,5.860806
-77.00407,72,6.046449
-103.171288,70,6.227817
-152.220231,113,6.521229
-70.862825,120,6.835723
-91.297353,76,7.03475
-86.372275,126,7.371964
-75.545269,76,7.568501
-42.232652,119,7.882371
-74.479779,117,8.190909
-54.960579,76,8.386851
-100.725174,137,8.753967
-114.559611,60,8.90882
-91.113566,139,9.282365
-136.579918,130,9.615678
-26.858759,136,9.982859
-103.979187,90,10.248152
-71.721471,119,10.572585
-63.219005,170,11.026068
-35.741062,164,11.482141
-94.021519,88,11.71603
-47.206767,187,12.235123
-88.242118,197,12.779197
-28.662694,145,13.178384
-35.225834,85,13.412449
-161.855967,114,13.715073
-32.537266,190,14.252099
-212.105019,309,15.185309
-63.272118,87,15.422587
-35.136269,167,15.876571
-1.014667,181,16.389545
3.577976,169,16.859672
-49.094979,1500,23.158746
-185.864253,500,24.79358
-191.071404,680,27.209324
-193.110369,1500,35.549597
-142.05743,1500,37.813154
-185.474978,1500,41.078501
-159.128959,1500,44.127778
-136.409679,1500,47.610868
-96.358913,1500,55.30531
-81.333304,1500,62.184927
-94.051173,1500,68.619937
-98.337676,1500,75.958001
-123.798099,1500,83.278258
-129.401105,1500,90.054761
-203.885891,1176,95.966143
-133.99548,517,96.52569
-163.252189,1500,99.09584
-128.237865,502,99.794455
-189.21699,1500,105.518546
-182.742861,881,108.593578
-161.320509,1500,115.772163
-167.498983,1500,122.163398
-102.408265,1500,129.258863
-76.464993,1500,135.93275
-153.688019,1500,143.767493
-125.041893,1500,151.114433
-57.515416,1500,154.94761
-118.396016,1500,158.327639
-107.613567,1500,161.060832
-129.548147,1500,164.350823
-71.187779,1500,166.548224
-106.87133,1500,172.917984
-79.801607,1500,179.206359
-102.64523,1500,185.266474
-98.641759,1500,191.76739
-61.428362,1500,197.333575
-164.156873,1500,203.887151
-136.332139,1500,210.606546
-106.443055,1500,213.604028
-105.397137,1500,215.695951
-123.39682,1500,218.520138
-105.815578,1500,220.85467
-114.498111,1500,228.829828
-118.539601,1500,235.252008
-60.419178,1500,242.496539
-73.205763,1500,248.471252
-101.352171,1500,255.119287
-112.442015,1500,262.520048
-78.835632,1500,271.027506
-151.963712,1500,273.540303
-109.766696,1500,275.783805
-108.348633,1500,279.354933
-81.170749,1500,282.039403
-71.893703,1500,289.02129
-92.926026,1500,295.540364
-135.45623,1500,302.673527
-329.535784,873,305.801414
-88.389676,1500,312.755342
-238.824825,645,314.852506
-94.170516,1500,321.321694
-255.546834,733,325.751797
-338.535935,1500,328.028274
-132.736365,1500,330.989365
-286.638988,1500,334.155304
-281.894451,1500,336.30715
-210.551051,1500,343.381834
-181.513573,1500,349.226419
-96.398242,1500,355.476435
-89.046516,1500,362.806388
-108.946079,1500,368.863792
-84.516709,1500,376.215715
-148.729992,1500,382.299273
-194.14865,1500,384.57537
-88.478953,1500,387.788185
-182.852013,1500,389.99051
-144.225091,1500,392.385063
-134.597501,1500,399.059626
-141.912651,1500,405.905903
-72.191619,1500,413.490917
-116.053514,1500,420.079762
-149.279484,1500,429.772919
-10.908598,170,430.362141
-133.329713,1500,437.921642
-115.687364,1500,444.004734
-141.85274,1500,451.050861
-102.495232,1500,455.842336
-82.533419,1500,461.526658
-207.02707,330,461.797119
-69.822865,1500,470.625966
-41.508453,1500,479.191756
-27.909358,116,479.55742
-64.33611,1500,487.144657
-135.052642,1500,492.968145
-191.633191,1500,499.539161
-129.637347,1500,506.800454
-134.514693,1500,513.031581
-52.368372,124,513.106248
-114.613305,1500,515.861346
-76.583545,1500,518.091866
-115.149831,1500,521.465334
-116.024957,1500,529.504835
-67.841769,1500,535.545332
-164.933746,1500,541.63458
-154.9375,1500,550.1995
-123.781496,1500,556.490703
-110.53107,1500,563.093735
-102.697832,1500,570.707896
-129.834891,1500,573.132138
-144.005656,1500,577.376376
-95.426469,1500,582.305256
-145.086835,1500,585.375351
