#{"t_start": 1658948008.1539516, "env_id": "LunarLander_obs-v1"}
r,l,t
47.536495,67,0.225371
147.183533,85,0.47292
-84.576444,107,0.832367
94.025742,76,1.031142
137.396491,58,1.175175
41.040576,66,1.389521
-51.424968,69,1.615413
71.600014,101,1.970406
-190.233549,84,2.179661
-128.78486,91,2.394611
-18.062008,104,2.652688
131.661726,91,2.879737
57.358784,74,3.131131
74.592067,92,3.347891
63.57616,82,3.543011
40.401307,102,3.878461
-269.014897,94,4.108439
-41.009882,113,4.427705
155.745375,80,4.69862
10.240754,67,4.875669
165.185673,61,5.087863
-119.480296,112,5.395247
6.666182,114,5.725695
48.61149,82,5.939907
102.158884,65,6.130187
-74.280827,94,6.360987
88.775468,65,6.536686
99.420035,81,6.805689
-71.91924,108,7.121425
115.662485,88,7.344436
75.605807,84,7.572199
81.721872,68,7.776388
90.670767,73,8.038744
90.519028,57,8.223253
98.429228,98,8.511158
108.711516,65,8.68896
103.176348,115,9.027355
137.988627,98,9.274195
161.02164,68,9.461958
93.722016,90,9.745107
93.615935,74,9.940402
145.20109,75,10.141246
132.325489,109,10.421813
129.631661,63,10.585053
168.947983,104,10.838568
119.856925,62,10.991364
104.220035,72,11.17073
50.567665,93,11.404344
106.206209,61,11.566712
34.278312,92,11.800561
112.558243,63,11.964373
166.713788,86,12.182443
167.960392,57,12.326445
71.344166,65,12.503906
121.223811,55,12.639066
187.113788,61,12.797736
57.748189,75,12.983719
40.563845,106,13.266709
161.759618,75,13.457864
181.326398,97,13.708713
151.550463,59,13.860206
160.156394,78,14.052269
54.595,87,14.283309
143.651698,78,14.475043
152.483021,76,14.678015
181.569821,78,14.878702
106.053881,95,15.121926
-21.753543,104,15.394651
27.64843,95,15.629066
111.653698,57,15.787738
66.438324,72,15.976279
146.932094,94,16.222857
57.525377,94,16.466814
149.771165,67,17.189534
135.422437,102,17.475194
135.189326,71,17.661625
124.917627,80,17.878925
101.844905,60,18.030373
115.281274,65,18.195612
37.715373,80,18.401359
89.647562,95,18.636514
175.877148,76,18.824127
158.045494,81,19.029934
122.25797,75,19.214986
98.097703,88,19.439777
140.597029,61,19.588311
186.205796,56,19.726375
79.689139,88,19.952038
149.718731,92,20.198448
162.607207,57,20.344517
194.912162,74,20.550947
156.958157,78,20.74744
179.662863,69,20.923169
134.193234,69,21.117047
167.282569,64,21.282348
50.713984,86,21.517088
147.802742,59,21.673941
123.922244,65,21.841556
204.807139,78,22.054281
190.900968,59,22.205876
83.303675,70,22.390862
183.42536,101,22.661342
148.969511,103,22.930627
113.216875,98,23.19244
168.198663,58,23.347219
194.39271,60,23.50496
194.592231,69,23.692737
134.057287,85,23.91158
51.910029,81,24.129575
158.652403,63,24.297682
166.585588,89,24.535305
108.935705,73,24.72846
116.556871,63,24.897168
110.896204,68,25.080916
124.086688,69,25.269764
114.66115,96,25.523533
2.024625,76,25.724011
69.823321,100,25.994981
75.571048,62,26.156633
106.498051,95,26.4171
71.683004,77,26.622382
84.415503,80,26.839509
96.949008,65,27.017656
168.552051,76,27.217604
154.900655,70,27.403631
189.857069,74,27.596676
119.724372,58,27.623942
181.86494,82,27.66023
112.847695,61,27.688845
78.429876,65,27.71974
151.981352,60,27.912703
164.368537,97,28.188531
162.012808,95,28.438544
145.885457,74,28.637688
26.031666,71,28.827905
88.84927,75,29.030442
148.615752,72,29.225144
105.174376,64,29.39538
148.447253,85,29.636552
113.876163,60,29.796465
162.475227,63,29.958263
92.183461,92,30.22397
106.485364,85,30.457892
25.631175,69,30.651891
140.375542,61,30.811948
116.118449,74,31.011764
89.878456,60,31.181098
71.008935,95,31.428374
99.549942,63,31.606569
99.781826,96,31.867684
155.447097,71,32.061955
168.117249,78,32.271594
123.687362,62,32.440188
84.408464,56,32.593019
91.147185,90,32.840792
123.200738,82,33.070441
106.068148,74,33.273326
163.542023,84,33.496347
156.968013,92,33.746496
26.388752,83,33.973906
79.389185,94,34.238763
119.035242,86,34.465831
134.952024,99,34.731819
167.001864,93,34.983418
106.21216,71,35.190199
132.775232,97,35.521067
123.02726,96,35.883253
142.254119,91,36.134379
91.633221,64,36.307969
140.364002,98,36.570585
166.069572,101,36.913862
68.500969,76,37.210549
100.16401,69,37.472358
107.550339,88,37.743965
23.723188,92,38.022909
17.318628,70,38.358844
99.553995,98,38.779499
183.752184,79,39.084219
94.922627,83,39.411806
171.870424,86,39.772394
174.848783,69,39.967971
89.497236,78,40.248001
149.494988,93,40.622633
131.733973,81,40.95476
90.481537,77,41.259154
64.436145,97,41.578875
173.61369,66,41.794003
147.860024,68,41.981566
165.289367,74,42.229649
75.174719,81,42.485783
171.253633,88,42.805102
174.152004,85,43.159405
127.49372,99,43.702788
93.123273,71,44.074031
151.732748,66,44.355239
91.756359,68,44.597478
153.786803,106,44.909189
159.808426,74,45.221522
150.113588,77,45.49788
137.527062,76,45.796278
170.47936,104,46.109024
150.889116,74,46.380208
184.484173,81,46.638868
123.686689,95,46.909948
130.197522,72,47.109136
86.751972,87,47.35979
40.883429,80,47.675567
102.515998,73,47.966867
133.25547,69,48.210796
118.641642,69,48.417624
127.842765,73,48.648285
184.526173,102,48.929747
126.017611,72,49.191443
137.770128,70,49.438285
133.930017,70,49.650783
155.826165,65,49.878077
125.726547,71,50.12025
82.164217,74,50.386388
159.692212,102,50.742572
172.128021,73,50.988521
82.224691,76,51.229541
106.785765,68,51.447486
177.320339,99,51.841977
147.427478,82,52.217395
173.116354,70,52.472419
174.272286,69,52.725806
153.317318,75,53.063483
118.596348,80,53.294503
58.611094,79,53.51446
111.414155,81,53.723294
95.891586,64,53.955196
180.650762,88,54.320527
130.673931,89,54.596062
118.895441,100,54.86337
113.953659,66,55.044969
101.497102,82,55.259418
182.328651,65,55.51496
148.97714,77,55.775743
90.751573,86,56.003838
113.079758,72,56.190309
162.052879,81,56.418346
97.988698,80,56.783535
77.840171,82,57.043804
88.295141,64,57.215369
126.058415,92,57.460843
176.33235,98,57.867468
145.701375,86,58.121892
180.324022,72,58.331766
72.519809,75,58.63382
28.343714,81,58.916741
91.492034,63,59.154021
112.497996,96,59.525135
202.311704,72,59.784214
169.024782,74,60.044893
139.013694,91,60.44405
114.761361,75,60.655259
120.891558,74,60.704984
186.30922,65,60.744576
75.981699,82,60.800628
180.386523,66,60.841755
183.566456,66,61.087479
113.861329,83,61.383896
109.667149,125,61.839706
91.348127,63,62.070466
43.075849,90,62.432049
142.558163,97,62.699319
144.936781,107,63.022057
101.464494,85,63.248489
98.469221,66,63.430859
106.108793,75,63.635374
102.021545,66,63.80966
157.768452,105,64.092178
117.966045,92,64.337071
181.399758,92,64.582994
98.821843,137,64.968812
130.278397,104,65.250592
109.602801,63,65.416268
101.476861,77,65.626613
92.213072,82,65.853668
125.084573,96,66.123501
129.86443,82,66.347391
90.410731,111,66.651424
87.02779,77,66.881011
104.951347,85,67.146656
47.190335,86,67.395957
97.893164,75,67.633759
165.848117,81,67.846277
92.708292,107,68.140836
119.154346,88,68.39319
160.64027,90,68.698673
156.944944,71,68.912524
190.087001,95,69.198316
121.787577,51,69.351804
171.102483,151,69.841929
104.667658,81,70.088934
148.220894,73,70.313285
-161.88948,438,71.791259
126.055911,87,72.042505
42.031619,85,72.279903
158.187934,155,72.780114
-134.298406,174,73.287832
-128.463431,169,73.809111
73.268,95,74.087764
114.967756,98,74.364208
168.068243,87,74.688801
107.355997,65,74.945993
193.747126,57,75.155099
117.196444,56,75.363842
135.032021,126,75.842514
85.766173,78,76.139441
183.815038,54,76.330079
121.040488,161,76.955829
186.805618,93,77.313385
132.889522,55,77.498892
179.373599,53,77.699469
127.400351,135,78.203207
175.041579,103,78.584483
123.416436,58,78.812311
74.732664,86,79.110797
144.345381,53,79.295582
121.753095,129,79.788969
26.673504,86,80.135134
200.565426,79,80.443863
211.364265,66,80.694404
202.792469,74,80.982876
184.726184,80,81.274215
177.504934,70,81.511862
93.348721,68,81.750561
141.244315,65,81.997021
165.950894,67,82.23104
181.283486,85,82.5466
156.711765,84,82.845076
110.778908,70,83.081739
124.322691,99,83.429372
129.585146,57,83.621136
98.064917,72,83.872669
128.046508,54,84.06831
93.278285,92,84.399542
11.360924,167,85.005119
110.03367,72,85.263755
133.39418,67,85.510638
144.940878,56,85.710106
