#{"t_start": 1659012025.0894568, "env_id": "LunarLander-v3"}
r,l,t
-127.45849,70,0.227397
-95.469357,97,0.518404
-427.252818,109,0.846513
-365.700315,115,1.203943
-104.028764,72,1.424363
-258.660316,118,1.796961
-96.60324,68,2.004902
-98.934244,117,2.358576
-40.372402,141,2.795959
-209.417376,116,3.155882
-100.578567,88,3.423729
-154.113126,119,3.791321
-174.904789,77,4.044352
-76.413411,122,4.440243
-88.217667,108,4.77487
-98.596016,95,5.068005
-201.928163,90,5.358317
-166.076797,118,5.725748
-82.620981,61,5.922528
-101.117209,105,6.247729
-105.306476,87,6.524688
-46.93792,112,6.888103
-58.994987,67,7.091748
-54.108033,70,7.314412
-214.624894,98,7.617457
-236.455859,143,8.082756
-5.703488,158,8.58951
-119.605079,89,8.858885
-109.203272,121,9.245548
-91.425651,82,9.510923
50.380155,120,9.902992
-116.260057,78,10.146979
-79.21749,164,10.672984
-170.659683,160,11.194668
-29.218003,101,11.519004
-70.41837,160,12.046643
-62.460608,67,12.269396
-21.034798,128,12.684964
-39.428333,66,12.909913
-172.477088,146,13.383536
-39.735791,103,13.730251
-4.512486,188,14.350312
8.705318,106,14.694678
-10.50322,130,15.136522
-75.967961,82,15.39473
-29.439589,132,15.838546
-1.38888,171,16.481907
-21.358477,262,17.537745
7.483531,154,18.1286
-6.568005,1500,26.680447
-1.574219,180,27.318024
-276.754968,440,29.049123
-33.14112,1500,37.385181
-69.796985,324,38.610181
-118.578739,1500,43.49154
-42.778726,1500,47.383013
108.233265,1500,51.21592
30.458375,1500,53.916684
-62.571724,1500,57.595759
-93.801069,281,58.658448
-236.692899,807,62.1665
-119.997839,1500,69.730739
-165.891278,1500,78.476146
70.595844,1500,85.631258
21.264479,1500,94.031884
29.624996,148,94.570479
-137.219129,1500,102.497919
-128.507849,237,103.386364
109.324922,1500,110.46036
57.093254,1500,113.175223
185.078503,1500,115.149147
52.50567,1500,118.153556
-5.871751,178,118.296908
75.013715,1500,126.026762
96.798976,1500,132.921737
1.815657,1500,140.764735
69.883184,1500,148.464454
68.743711,1500,155.024029
118.786351,1500,161.354465
125.541713,1500,169.435814
174.908327,1500,172.886273
73.100706,1500,177.446677
104.730479,1500,179.582659
104.646291,1500,182.50776
-78.337334,1500,189.815207
-30.827254,456,191.609474
-96.391862,1500,200.231153
81.000391,1500,207.894813
76.440309,1500,215.796067
128.328711,1500,221.496833
111.60203,1500,228.51412
64.684719,170,230.861921
74.031808,1500,234.299256
96.510595,1500,236.685525
-113.513429,1500,239.481697
-124.030507,1500,244.243582
128.155437,1500,250.963776
43.240438,1500,258.192208
-29.069061,1500,267.032665
62.134339,1500,275.495569
26.427063,140,276.005421
142.544488,1500,283.160243
166.729808,1500,289.48122
28.327616,173,290.126066
-3.677639,137,290.622619
-15.879135,166,291.214146
11.52773,139,291.722424
-32.83283,110,292.130613
179.198578,1500,294.727953
174.638041,1500,296.761843
130.195032,1500,299.34871
145.046254,1500,301.366287
11.760347,1500,305.148304
70.740893,1500,312.57754
29.142954,110,312.988329
-21.111573,143,313.50526
109.718321,1500,320.218601
159.563472,1500,326.702096
-5.627194,188,327.417693
-0.618869,1500,335.666097
195.870629,1500,341.73399
154.825392,1500,348.11889
-112.994984,1500,352.970194
-150.176907,1500,358.020871
-114.409143,1500,360.871655
-97.212983,1500,363.966961
-4.692818,1500,368.378268
-92.080505,1500,376.376954
165.526918,1500,383.260593
123.752811,1500,390.593884
74.731929,1500,398.174097
144.551992,1500,405.479457
78.650891,1500,413.898714
58.312877,1500,422.704326
127.483627,1500,424.359993
75.85599,1500,426.916004
129.271225,1500,430.817365
166.862299,1500,432.561046
21.104989,180,433.268107
51.253691,1500,440.405845
-7.37763,1500,449.575491
173.788144,1500,455.921821
158.809148,1500,462.217819
114.802208,1500,468.767555
120.191372,1500,475.847733
-167.733286,1500,481.740847
15.71688,1500,485.148017
-150.909259,1500,487.782639
54.820777,1500,490.344682
-155.863502,1500,493.408512
-59.794269,996,498.671569
5.364584,132,499.158063
158.916771,1500,505.408056
61.36864,1500,513.627461
93.636612,1500,521.033352
39.912127,1500,529.426365
44.840777,132,529.921599
7.704709,125,530.39105
0.367701,127,530.8625
2.107342,142,531.383056
-5.404889,1500,540.188393
141.978217,1500,545.594052
151.259,1500,548.56261
138.86311,1500,551.482981
169.995349,1500,553.177937
146.847861,1500,555.953069
39.378969,148,556.514455
135.982183,1500,562.801426
-16.434568,137,563.308364
-38.563422,103,563.679391
135.558288,1500,570.280005
64.596706,1500,577.333041
49.878609,137,577.845225
105.222423,1500,583.722519
100.529622,1500,591.063864
163.182565,1500,596.8973
52.090171,171,597.531753
126.462988,1500,600.502371
77.433739,168,600.659705
35.377462,286,600.94216
213.964265,1500,602.685298
150.542375,1500,604.900251
