#{"t_start": 1659012696.838817, "env_id": "LunarLander_obs-v1"}
r,l,t
55.720107,70,0.209367
117.38759,97,0.491195
-106.355425,108,0.810702
-181.375004,82,1.061826
47.799717,105,1.372136
67.689381,67,1.574461
-103.494086,124,1.938894
168.010953,109,2.260165
106.514977,66,2.452722
45.95928,81,2.700556
72.436024,69,2.902294
114.689002,67,3.104732
21.579366,105,3.411458
69.73945,60,3.585899
102.175751,64,3.776175
26.928665,100,4.07787
-90.426113,119,4.446068
-41.476413,106,4.759419
-1.350801,80,5.00497
103.230834,70,5.239058
43.015774,61,5.424084
108.910133,60,5.60109
129.699346,118,5.944919
122.790359,61,6.137293
90.157995,74,6.356438
77.325457,77,6.588477
153.85439,75,6.818756
-32.05593,120,7.188202
178.006126,75,7.419798
-99.058445,103,7.740061
82.55411,84,7.999506
85.45217,68,8.209401
85.306979,73,8.43444
92.36248,57,8.603509
79.547632,117,8.960014
85.41403,59,9.141764
119.226008,63,9.339839
135.224825,54,9.497569
187.317583,92,9.780071
-38.917508,85,10.041791
36.46309,78,10.274693
138.170039,66,10.480335
92.134704,62,10.665289
101.515621,69,10.881776
116.077838,63,11.074685
80.95197,72,11.298759
174.062927,71,11.525441
141.260334,85,11.790341
135.412923,71,12.00783
101.05468,108,12.350902
84.503076,62,12.537015
83.361317,65,12.749897
79.081444,95,13.039706
162.017515,108,13.37628
165.901273,92,13.658094
169.211212,60,13.846847
111.124719,59,14.032664
195.851192,72,14.259176
98.763034,99,14.567127
107.609928,57,14.741551
191.0222,64,14.937486
164.924319,91,15.224313
43.797985,107,15.563941
157.103416,68,15.77637
75.095011,70,15.991711
124.618532,76,16.233182
135.374444,70,16.45785
193.345776,84,16.717555
126.633826,84,16.980772
135.703933,99,17.284146
125.321543,96,17.58501
154.002491,93,17.890868
170.385171,90,18.176806
157.781494,95,18.481417
172.851725,99,18.798907
122.658672,74,19.025487
173.426622,72,19.256207
87.249259,91,19.549108
184.938869,84,19.813967
17.941523,80,20.06743
103.187576,96,20.367857
129.811448,71,20.596675
150.122085,85,20.8671
129.653627,75,21.105899
93.339577,88,21.392378
137.421722,61,21.590978
166.492234,57,21.773372
114.752832,65,21.979736
191.786024,74,22.219443
178.47299,66,22.430823
116.657886,105,22.780107
159.305857,78,23.027233
163.596054,70,23.256902
91.34461,70,23.483173
106.214472,75,23.727126
106.098005,69,23.949067
113.537517,77,24.20045
1.776121,68,24.425565
90.396056,75,24.666139
133.822242,101,24.983684
160.504365,69,25.205823
115.749911,67,25.419216
97.828331,82,25.689306
107.721972,99,26.009579
43.104713,92,26.309437
141.225778,104,26.658861
-30.501481,115,27.04233
123.695825,70,27.277714
124.752043,83,27.559822
100.872971,82,27.828309
90.120396,81,28.0944
77.993714,93,28.419268
161.816499,95,28.733903
165.381407,67,28.974679
104.945537,86,29.274555
144.398852,70,29.507142
110.566368,86,29.800771
130.252799,66,30.018617
150.868871,99,30.348169
88.295071,78,30.603994
100.69147,65,30.828371
133.664297,66,31.040319
155.23927,89,31.336352
44.574868,73,31.539461
102.108705,98,31.613439
11.042632,98,31.685111
-53.107087,99,31.759482
80.734279,63,31.804537
96.25578,73,32.066784
91.952424,74,32.304294
126.706553,87,32.602392
-57.70624,101,32.951719
48.953494,82,33.237029
68.426483,68,33.465006
94.750773,96,33.798761
143.577267,96,34.129928
136.179629,86,34.41808
86.682379,107,34.79701
-18.8056,95,35.121719
47.885386,77,35.383912
124.316484,84,35.685754
-0.589409,105,36.056765
86.314215,73,36.302087
134.416126,88,36.61265
120.700357,100,36.972763
5.298374,106,37.355566
74.671952,70,37.592824
115.670958,75,37.853177
47.751473,86,38.156203
78.007502,89,38.456244
-15.953202,115,38.867533
-80.739666,104,39.23628
-33.135175,138,39.71439
51.98145,102,40.070473
101.264681,129,40.524775
134.942826,111,41.070558
83.407905,113,41.58932
49.250293,120,42.047971
-21.950778,157,42.60154
-3.507171,101,42.948127
46.982021,166,43.547081
105.325914,169,44.137905
29.391445,131,44.587857
22.719441,130,45.038164
39.14583,255,45.963136
9.627927,167,46.547567
-70.166552,184,47.202734
-3.013539,154,47.727355
-11.015354,101,48.0806
-19.23689,431,49.669745
-95.749634,203,50.383173
-51.164936,444,52.103479
-8.547175,162,52.666489
-14.644443,444,54.343088
-91.006582,307,55.478659
-57.9018,324,56.707572
-5.493073,358,58.029076
-54.137662,131,58.483937
-118.662806,347,59.74939
-29.427386,452,61.521623
-15.027568,368,62.913534
4.546843,309,64.04297
14.221634,307,65.120088
-86.960882,259,66.021925
-82.71423,214,66.781241
-46.585347,303,67.865989
-64.30347,114,68.195553
-76.317943,162,68.322224
-90.88416,186,68.469181
-129.286421,145,68.572937
-25.241686,284,68.818759
-71.012849,118,69.232063
-193.06529,399,70.749261
-43.580026,329,71.948716
-135.529825,227,72.752918
-289.251474,859,76.542734
-179.444222,1500,84.261786
-62.449027,955,88.405109
142.115905,110,88.783213
-255.060334,1500,95.842365
48.168873,442,97.524886
148.174105,52,97.698085
142.18099,142,98.178739
186.049649,64,98.390831
118.420266,342,99.68218
194.936821,56,99.869987
136.976707,188,100.523898
117.343782,56,100.713976
185.43085,59,100.914021
182.836294,52,101.08758
181.960738,52,101.26605
199.022579,71,101.5144
124.650221,58,101.707537
173.42493,97,102.035592
211.748212,72,102.278839
195.377755,64,102.497283
102.574706,167,103.07455
108.318035,204,103.788856
121.400866,60,103.992113
194.743992,55,104.180115
82.653571,202,104.879966
183.512887,61,105.092757
148.557371,75,105.338269
128.333494,64,105.554279
110.239791,154,106.080549
161.826058,59,106.278642
104.779335,131,106.708649
86.779704,52,106.882114
96.480871,165,107.453285
213.012329,63,107.658252
144.089107,87,107.953641
118.025437,138,108.432726
184.587504,86,108.716386
200.842535,58,108.914396
202.764356,58,109.102346
203.470773,76,109.359596
141.66037,59,109.558613
120.126809,53,109.803982
183.035306,55,109.842811
186.327079,55,109.879107
175.568914,62,109.923369
193.798413,57,109.961996
119.471785,161,110.538693
140.239813,77,110.794197
154.305069,80,111.062611
202.537707,84,111.353108
82.436357,205,112.074098
113.119277,127,112.516
122.205574,164,113.097175
187.691099,83,113.373186
