#{"t_start": 1659018830.125546, "env_id": "LunarLander-v2"}
r,l,t
-127.45849,70,16.09744
-95.469357,97,16.401637
-427.252818,109,16.737519
-365.700315,115,17.092976
-104.028764,72,17.314625
-258.660316,118,17.686667
-96.60324,68,17.888864
-79.198978,104,18.218799
-9.564056,122,18.603109
-269.120161,106,18.941875
-117.381256,96,19.234973
-7.237765,77,19.4723
-161.205788,115,19.831244
-100.122299,99,20.130008
-227.346482,97,20.442279
-318.197403,102,20.75995
-100.932547,127,21.177526
-107.28244,78,21.430199
-102.774964,116,21.794473
-90.102308,66,22.00612
-153.730022,80,22.25095
-157.002368,83,22.511089
-187.297879,96,22.810883
-100.753991,67,23.009015
-136.128219,134,23.441068
-93.912662,103,23.779758
-116.512227,69,23.994518
-88.472289,75,24.235041
-85.154317,149,24.702371
-71.393107,68,24.926491
-99.703091,87,25.204354
-141.249917,105,25.544628
-111.442114,119,25.934186
-86.918095,96,26.243344
-82.914447,115,26.595902
-55.887592,134,27.047064
-78.44366,132,27.489189
-40.308439,152,27.980979
-73.273845,127,28.385038
-8.330997,116,28.754544
-35.059172,89,29.035116
-73.664657,122,29.416136
-20.343251,155,29.926477
-80.799491,169,30.47819
-31.154042,125,30.904089
-49.800962,78,31.148309
-44.021394,109,31.500542
-58.649668,154,32.015937
-55.673547,68,32.232724
-63.538359,227,33.007547
-81.293675,103,33.343688
-41.314993,126,33.812958
-72.92212,97,34.164435
-14.437525,232,34.949498
-3.502876,114,35.331211
-70.446358,107,35.684734
-15.451224,176,36.276549
-27.39683,144,36.752668
-71.747327,110,37.131308
-27.917417,100,37.481185
22.23644,121,37.899579
-24.421251,77,38.149054
-180.874264,472,39.96664
-238.413194,456,41.764283
77.17421,1000,46.300865
-170.851483,408,47.921981
120.605649,801,52.309888
210.728351,273,52.542148
7.50767,1000,54.291815
42.031913,1000,56.408454
143.748698,669,57.479655
48.93065,1000,61.656596
42.270665,272,62.677816
122.810157,594,65.15113
229.220243,730,68.310823
37.185753,1000,72.749788
236.769991,408,74.428675
183.853259,830,78.375364
33.086,1000,83.019413
-5.308316,1000,88.076682
-26.947978,1000,93.567256
-4.512021,1000,99.031896
-18.219109,1000,103.905721
-4.445808,1000,106.553499
-43.813362,1000,108.817355
13.57368,1000,110.472716
36.222365,1000,112.372918
-4.006424,1000,115.20734
152.0043,1000,119.301378
87.407726,1000,124.310344
270.802755,859,127.915079
238.097272,673,130.913267
216.582961,505,133.095608
-46.973434,168,133.69345
167.258746,1000,137.642406
261.859473,821,141.079343
236.347807,521,143.202904
50.441238,217,143.968346
263.893474,568,146.260898
218.034089,596,148.828837
267.725532,330,150.091009
257.916161,556,152.542559
297.183101,518,154.615406
-1.363176,185,155.329288
262.205144,320,156.565527
235.329517,381,157.640297
250.839379,311,158.0014
243.117049,397,158.376344
85.726688,1000,159.939826
243.651816,436,160.447228
26.207249,250,161.392823
238.213365,425,163.243748
283.884754,499,165.261618
283.543847,290,166.327209
171.180849,1000,170.92927
244.664006,430,172.776611
261.978497,630,175.295618
247.296718,390,176.848474
99.284705,1000,181.387196
271.015766,569,183.77911
179.023614,323,185.049129
101.791214,1000,189.524292
-12.698556,517,191.75672
0.785694,248,192.710659
101.148311,1000,197.38519
217.237531,802,200.918889
193.793222,389,204.165994
182.188212,284,204.440226
-5.902179,1000,206.283013
-26.140918,1000,208.219307
192.666661,223,208.414031
271.635702,561,210.720891
206.410559,303,211.877341
203.592751,266,212.929544
210.873478,983,217.11176
217.719462,328,218.379454
65.126843,1000,222.83954
-44.414329,1000,226.918378
158.276679,946,231.051481
174.395015,815,235.086204
154.226442,1000,239.64075
231.276674,807,243.256529
255.692095,405,244.89359
265.744591,282,245.963349
162.775163,817,249.512626
261.096216,224,251.569739
129.184248,1000,253.558739
129.413773,1000,255.012716
134.657773,750,256.310883
256.778608,226,256.544355
218.876704,307,257.755764
231.300195,567,260.37574
172.839527,1000,264.814829
211.618439,770,268.123943
260.801866,294,269.259326
205.031959,539,271.596194
205.474861,491,273.665439
19.268982,159,274.251264
258.921277,406,275.842024
177.02555,839,279.659372
193.216914,866,283.758872
147.867155,946,288.049651
192.346127,818,291.579712
315.617529,564,293.739374
196.423421,656,297.058679
220.146634,409,300.732034
297.178205,297,301.053874
235.649959,872,302.345677
128.237063,1000,304.229591
271.817585,323,304.564755
235.025094,893,308.284481
-26.754627,1000,312.863626
-9.006959,1000,318.031367
309.372657,284,319.162407
124.13918,1000,323.666105
194.899114,447,325.555819
247.963001,620,328.085123
259.426108,937,332.27845
-23.527947,199,333.034957
295.03231,377,334.547504
150.771124,1000,339.246258
290.903226,217,340.054958
272.703547,181,340.749058
287.993418,786,344.002015
276.270623,744,347.232188
237.662466,312,348.833089
115.61781,1000,350.345283
233.563443,435,350.803205
-38.765521,1000,352.164222
189.681405,903,353.694145
213.258983,709,356.959762
299.790897,868,360.608321
126.593331,1000,364.691002
269.939208,220,365.536749
165.978609,1000,369.644592
115.655525,1000,373.904442
269.890479,812,377.237869
101.175901,1000,381.492861
267.249725,745,384.500611
19.949442,176,385.134201
152.383262,1000,389.247652
294.572261,824,392.777074
270.066555,215,393.547372
-118.730753,68,393.787309
290.594955,246,394.70611
280.241284,268,395.365517
252.584584,860,396.460827
29.345075,137,396.570699
278.252664,625,397.276458
278.032645,184,397.425709
-172.369819,318,398.639307
151.28101,1000,402.724408
253.840712,222,403.539871
272.281528,497,405.648579
242.937555,599,408.008302
27.860224,128,408.479095
39.594133,75,408.759398
235.915113,424,410.496706
248.754718,800,413.785355
4.844104,115,414.213763
257.992124,246,415.120075
234.935783,491,417.153419
182.857455,1000,421.222159
0.192644,121,421.678273
194.666105,1000,426.066196
28.871915,149,426.625994
2.463662,144,427.16202
163.634192,450,428.985906
13.378453,141,429.506288
234.862526,1000,433.59126
260.282272,379,435.075919
