#{"t_start": 1659020093.190693, "env_id": "LunarLander-v3"}
r,l,t
-141.062749,67,8.695543
-67.782133,87,9.07822
-197.925649,67,9.376023
-279.512026,105,9.833868
-153.449836,97,10.252031
-63.163494,64,10.52658
-356.431083,86,10.894617
-96.60324,68,11.187044
-41.685713,118,11.69481
-320.824473,94,12.097829
-209.825654,109,12.563699
-128.664664,94,12.963525
-271.896043,101,13.400909
-111.066414,86,13.774539
-251.992003,120,14.297491
-208.822285,65,14.580302
-121.328476,75,14.910517
-104.13578,100,15.346545
-275.919896,104,15.803903
-133.46791,84,16.167995
-168.091661,73,16.481969
-285.156017,70,16.78354
-139.884244,110,17.276754
-219.121091,96,17.691309
-147.97914,98,18.270062
-120.840496,100,18.718469
-63.7379,62,19.154393
-73.286274,71,19.46684
-100.951017,91,19.997913
-245.42093,104,20.445334
-201.204177,82,20.807199
-318.279927,107,21.274816
-258.808924,87,21.665698
-103.615158,66,21.957058
-124.86012,151,22.631376
-91.251668,142,23.26198
-106.647647,101,23.702863
-149.35241,136,24.311162
-33.376769,69,24.613553
-136.278072,106,25.077638
-132.364616,99,25.505644
-115.850639,85,25.870732
-361.479545,118,26.383773
-115.323096,114,26.885691
-80.490768,122,27.412651
-117.827864,109,27.897902
-150.657316,109,28.368283
-273.140722,117,28.879524
-169.983929,77,29.219878
-216.38982,111,29.710711
-287.833331,84,30.067175
-121.622925,67,30.349469
-301.884138,112,30.838124
-118.46223,85,31.219388
-226.267535,131,31.802593
-250.384197,113,32.290326
-97.207296,109,32.771761
-67.80008,147,33.431324
-140.053998,120,34.085907
-96.664894,77,34.468447
-96.586272,72,34.899664
-348.357265,119,35.485656
-72.762343,107,35.956143
-115.27463,80,36.305567
-435.967494,111,36.791296
-87.665289,76,37.12276
-298.850502,115,37.627988
18.097152,89,38.018698
-242.43379,84,38.381217
-100.794701,95,38.801381
-218.726871,113,39.299781
-66.825865,93,39.710229
-327.913184,87,40.093369
-100.540447,60,40.360112
-124.165185,60,40.62449
-265.00523,117,41.141528
-144.438091,78,41.478228
-83.28688,130,42.061033
-99.509297,95,42.479598
-115.613571,90,42.870081
-111.782256,76,43.199861
-196.054988,134,43.790215
-97.767799,97,44.221041
-99.737897,106,44.681579
-110.640762,91,45.078878
-132.59157,132,45.644687
-80.180536,63,45.918398
-106.509162,96,46.341731
-50.57433,146,46.989294
-123.366624,67,47.278916
-123.409524,87,47.659065
-225.399455,138,48.274623
-40.717642,91,48.698116
-71.147801,73,49.023541
-95.69023,70,49.329035
-101.139165,69,49.635931
-104.544403,116,50.147107
-261.273448,140,50.763685
-159.716927,101,51.205209
-138.866529,102,51.64332
-278.89059,104,52.102272
-101.697663,70,52.403041
-71.542697,65,52.699365
-527.98021,74,53.089992
-502.825195,120,53.188272
-534.847446,109,53.272122
-704.474544,90,53.339997
-456.595548,80,53.401355
-94.27041,93,53.830722
-71.376475,66,54.122904
-78.060954,61,54.388089
-24.088722,132,54.986776
-44.225904,118,55.499632
-86.757385,92,55.904188
-159.788758,123,56.451283
-88.305079,91,56.856841
-108.404848,110,57.338835
-121.180533,147,57.989989
-105.201281,86,58.362482
-62.203018,79,58.71661
-67.773116,72,59.039674
-140.86305,84,59.408205
-115.017973,110,59.896855
-25.146537,100,60.348311
-3.341779,102,60.798551
-155.2219,140,61.434281
-103.348981,113,61.959334
-99.465686,119,62.482306
-92.196026,86,62.868985
-109.012927,149,63.533914
-165.635956,106,64.01327
-24.011445,1500,72.370182
19.559756,118,72.898642
-120.330697,83,73.265752
-100.564749,126,73.835128
-134.819552,116,74.351729
-86.81619,129,74.929733
-472.551117,129,75.505886
-27.84735,90,75.924222
-39.916088,83,76.31053
-77.970894,126,76.873412
-339.571038,83,77.252776
-210.381439,107,77.738555
-102.93483,63,78.028884
-166.87264,105,78.524385
-154.568912,109,79.03596
-195.183676,109,79.533652
-94.441835,103,80.001966
-164.815787,102,80.475574
-32.741176,80,80.847779
-73.286696,64,81.13873
-56.381796,78,81.490449
-86.795209,89,81.892264
-10.658402,125,82.463882
-85.381148,76,82.806507
13.929044,145,83.456737
-316.504253,118,83.98477
-132.751861,83,84.359399
-54.509991,90,84.766048
-88.107224,81,85.129475
-55.901703,133,85.730124
-75.614476,136,86.352854
-117.352276,129,86.941977
-107.83138,128,87.520161
-78.734699,74,87.84845
-241.251274,155,88.548728
-104.560123,137,89.190841
-106.74289,137,89.824454
-69.130234,107,90.294667
-23.875493,78,90.656485
-58.125714,72,90.983262
-20.232479,69,91.296948
-71.560302,119,91.838882
-5.072848,126,92.426774
-116.986145,113,92.952976
-57.677063,126,93.541707
-78.703046,104,94.028943
-2.887702,110,94.548162
-113.685263,144,95.209405
-71.998596,165,95.970961
-52.988353,90,96.381295
-92.660367,132,96.9978
-80.749617,81,97.372988
-60.588768,219,98.397883
-27.498775,185,99.288489
-114.819698,152,99.993084
66.076599,1500,103.709862
-98.641144,337,104.048932
-21.220134,55,104.091522
-40.186021,90,104.161817
-58.68672,84,104.223917
-64.371209,78,104.587207
-259.282718,151,105.29425
-77.505891,96,105.732443
16.357445,95,106.171488
-28.334087,149,106.876126
-39.280589,86,107.261794
-37.849968,83,107.638215
-34.413,140,108.286564
-26.436047,98,108.757487
10.500419,178,109.58795
-82.955932,148,110.272488
-88.013234,115,110.795185
-49.872933,193,111.683119
-42.884581,140,112.314607
-104.470551,142,112.973923
-71.168192,274,114.303443
-41.85256,211,115.284726
-36.330046,87,115.682775
-42.994312,89,116.08552
-30.072474,187,116.952567
-78.104484,110,117.441226
-77.910083,129,118.042361
-25.435127,164,118.80226
-19.686602,169,119.596697
-44.493829,129,120.195183
-143.876421,130,120.806945
-67.644477,107,121.290715
-49.666832,173,122.121369
28.121672,1500,130.551633
12.217542,186,131.423024
-50.192612,147,132.113968
-29.126085,141,132.768134
-65.539375,114,133.300291
-33.957055,67,133.606587
-38.896141,185,134.473014
-66.137538,113,134.998091
-20.141252,90,135.417258
-72.925387,136,136.051893
-13.136002,146,136.725967
-48.143095,112,137.251575
18.495468,193,138.159223
-59.915343,113,138.683916
44.69621,135,139.322212
-63.411504,177,140.14542
-18.441659,166,140.912613
25.40368,192,141.799454
-39.6784,132,142.40357
-14.001067,143,143.075174
-67.637981,81,143.440771
-40.866183,143,144.09643
-32.088447,176,144.897131
-43.490799,164,145.656696
-40.865376,180,146.522016
-28.109312,145,147.201827
-76.099121,93,147.625844
-59.563826,56,147.8893
-74.071823,165,148.665123
-53.804612,110,149.182399
-110.282506,126,149.769975
-47.261236,188,150.657503
-26.654341,68,152.355261
-33.820391,91,152.414569
-64.886381,99,152.482378
-88.514509,82,152.534297
-8.33118,96,152.596612
-75.393077,105,153.117239
37.595867,174,153.949157
-29.233999,280,155.292268
-24.719094,186,156.15851
-53.620091,530,158.788501
7.82109,1500,167.512547
-65.523655,288,168.95592
-48.535855,107,169.451613
41.057969,222,170.507165
-235.288917,273,171.824981
-91.242678,88,172.2312
-27.975875,100,172.707989
92.560805,1500,181.753867
-111.866168,99,182.222385
-31.388212,180,183.09647
-62.872046,136,183.757746
-22.124814,153,184.4843
-5.467677,100,184.95783
68.06383,1500,193.651221
-55.304661,168,194.443684
62.76254,1500,203.162439
-320.642839,109,207.619418
-364.72867,131,207.71967
-369.924386,138,207.827763
-285.149962,111,207.909368
-352.630733,120,208.002667
13.722902,326,209.649788
-51.040089,111,210.182769
-93.733085,53,210.432292
-28.668515,114,210.974915
-21.86645,83,211.364702
-4.572792,83,211.747879
-12.914246,74,212.094491
38.673729,109,212.615885
8.100142,147,213.324153
24.988754,111,213.869689
